intent,utterance
ask_clarify,did not get what you said now
ask_clarify,did not get your words
ask_clarify,did not understand it
ask_clarify,did you make a mistake
ask_clarify,didn't get that
ask_clarify,didn't understand what you said now
ask_clarify,didn't understand your answers
ask_clarify,do not get the last sentence
ask_clarify,do not get this
ask_clarify,do not get your answer
ask_clarify,do not understand that
ask_clarify,do not understand what you just said
ask_clarify,don't get this
ask_clarify,don't get your words
ask_clarify,don't understand that
ask_clarify,elaborate again to me please
ask_clarify,elaborate further on this
ask_clarify,elaborate further on this please
ask_clarify,elaborate further on what you've just said to me please
ask_clarify,elaborate me about your answers further
ask_clarify,elaborate me about your response once again please
ask_clarify,elaborate me further on your answer please
ask_clarify,elaborate me on this once again
ask_clarify,elaborate your response again to me please
ask_clarify,explain further
ask_clarify,explain further on last sentence to me please
ask_clarify,explain further please
ask_clarify,explain it further please
ask_clarify,explain last sentence once again please
ask_clarify,explain me about what you've just said again please
ask_clarify,explain me about what you've just said once again
ask_clarify,explain me further on what you have said please
ask_clarify,explain me further on your response please
ask_clarify,explain me more on what you have said
ask_clarify,explain me more on your answer please
ask_clarify,explain me on this further please
ask_clarify,explain me on your answer further please
ask_clarify,explain me on your answers once again
ask_clarify,explain more on that to me please
ask_clarify,explain more on what you have just said to me please
ask_clarify,explain more on what you've just said to me
ask_clarify,explain more on your answer please
ask_clarify,explain more on your response
ask_clarify,explain this again to me please
ask_clarify,explain your answers again
ask_clarify,explain your words again to me please
ask_clarify,further clarify what you just said please
ask_clarify,further elaborate me on what you have said please
ask_clarify,further elaborate your answers please
ask_clarify,further explain
ask_clarify,further explain me on the last sentence please
ask_clarify,further explain me on your response please
ask_clarify,further rephrase me about what you just said now please
ask_clarify,further rephrase me on last sentence please
ask_clarify,have you made a mistake
ask_clarify,i am not clear about last sentence
ask_clarify,i am not clear about that
ask_clarify,i am not clear about the last sentence
ask_clarify,i am not clear about this
ask_clarify,i am not clear about what you have said
ask_clarify,i am not clear about your answer
ask_clarify,i am not clear about your answers
ask_clarify,i am not clear about your response
ask_clarify,i am not clear about your words
ask_clarify,i am not so clear about last sentence
ask_clarify,i am not so clear about that
ask_clarify,i am not so clear about the last sentence
ask_clarify,i am not so clear about what you have just said
ask_clarify,i am not so clear about what you have said
ask_clarify,i am not so clear about what you just said
ask_clarify,i am not so clear about what you just said now
ask_clarify,i am not so clear about your answers
ask_clarify,i am unclear about it
ask_clarify,i am unclear about last sentence
ask_clarify,i am unclear about that
ask_clarify,i am unclear about the last sentence
ask_clarify,i am unclear about this
ask_clarify,i am unclear about what you have just said
ask_clarify,i am unclear about what you just said
ask_clarify,i am unclear about what you just said now
ask_clarify,i am unclear about what you said
ask_clarify,i am unclear about what you said now
ask_clarify,i am unclear about what you've just said
ask_clarify,i am unclear about your answer
ask_clarify,i am unclear about your response
ask_clarify,i am unclear about your words
ask_clarify,i can not catch that
ask_clarify,i can not catch up with you
ask_clarify,i can not quite catch that
ask_clarify,i can not quite catch up with you
ask_clarify,i can not understand that
ask_clarify,i can not understand what you said
ask_clarify,i can't catch that
ask_clarify,i can't catch up with you
ask_clarify,i can't get last sentence
ask_clarify,i can't get that
ask_clarify,i can't get what you said now
ask_clarify,i can't get your answer
ask_clarify,i can't quite catch that
ask_clarify,i can't quite catch up with you
ask_clarify,i can't understand your words
ask_clarify,i could not catch that
ask_clarify,i could not catch up with you
ask_clarify,i could not get that
ask_clarify,i could not get this
ask_clarify,i could not get your words
ask_clarify,i could not quite catch that
ask_clarify,i could not quite catch up with you
ask_clarify,i could not understand this
ask_clarify,i could not understand what you have said
ask_clarify,i couldn't catch that
ask_clarify,i couldn't catch up with you
ask_clarify,i couldn't get the last sentence
ask_clarify,i couldn't get what you have said
ask_clarify,i couldn't get what you just said now
ask_clarify,i couldn't get what you've said
ask_clarify,i couldn't quite catch that
ask_clarify,i couldn't quite catch up with you
ask_clarify,i couldn't understand what you just said
ask_clarify,i couldn't understand what you said
ask_clarify,i did not catch that
ask_clarify,i did not catch up with you
ask_clarify,i did not get your words
ask_clarify,i did not quite catch that
ask_clarify,i did not quite catch up with you
ask_clarify,i did not understand your words
ask_clarify,i didn't catch that
ask_clarify,i didn't catch up with you
ask_clarify,i didn't get your response
ask_clarify,i didn't get your words
ask_clarify,i didn't quite catch that
ask_clarify,i didn't quite catch up with you
ask_clarify,i do not catch that
ask_clarify,i do not catch up with you
ask_clarify,i do not get the last sentence
ask_clarify,i do not get what you just said now
ask_clarify,i do not quite catch up with you
ask_clarify,i do not understand it
ask_clarify,i do not understand that
ask_clarify,i do not understand your answer
ask_clarify,i don't catch that
ask_clarify,i don't catch up with you
ask_clarify,i don't get this
ask_clarify,i don't get your words
ask_clarify,i don't quite catch that
ask_clarify,i don't quite catch up with you
ask_clarify,i don't understand what you have said
ask_clarify,i don't understand what you just said now
ask_clarify,i don't understand your words
ask_clarify,i was not clear about it
ask_clarify,i was not clear about that
ask_clarify,i was not clear about what you have said
ask_clarify,i was not clear about what you just said now
ask_clarify,i was not clear about what you've said
ask_clarify,i was not clear about your answer
ask_clarify,i was not clear about your answers
ask_clarify,i was not clear about your response
ask_clarify,i was not clear about your words
ask_clarify,i was not so clear about it
ask_clarify,i was not so clear about that
ask_clarify,i was not so clear about this
ask_clarify,i was not so clear about what you have just said
ask_clarify,i was not so clear about what you said
ask_clarify,i was not so clear about what you said now
ask_clarify,i was not so clear about what you've just said
ask_clarify,i was not so clear about what you've said
ask_clarify,i was not so clear about your answer
ask_clarify,i was not so clear about your answers
ask_clarify,i was not so clear about your words
ask_clarify,i was unclear about it
ask_clarify,i was unclear about last sentence
ask_clarify,i was unclear about that
ask_clarify,i was unclear about the last sentence
ask_clarify,i was unclear about this
ask_clarify,i was unclear about what you have just said
ask_clarify,i was unclear about what you have said
ask_clarify,i was unclear about what you've just said
ask_clarify,i was unclear about what you've said
ask_clarify,i was unclear about your answer
ask_clarify,i was unclear about your answers
ask_clarify,i was unclear about your response
ask_clarify,i was unclear about your words
ask_clarify,it is not so clear to me
ask_clarify,it was not clear
ask_clarify,it was not clear to me
ask_clarify,it was not so clear
ask_clarify,last sentence is not so clear
ask_clarify,last sentence was not clear
ask_clarify,once again clarify me about your answers please
ask_clarify,once again elaborate me on that
ask_clarify,once again elaborate me on what you have just said please
ask_clarify,once again elaborate me on your response please
ask_clarify,once again explain it to me
ask_clarify,once again explain me on that please
ask_clarify,once again explain to me please
ask_clarify,once again explain your answer
ask_clarify,once again rephrase me on what you've said
ask_clarify,please again clarify me on last sentence
ask_clarify,please again clarify me on your answers
ask_clarify,please again elaborate me about your answer
ask_clarify,please again elaborate this
ask_clarify,please again explain
ask_clarify,please again explain last sentence
ask_clarify,please again explain me about it
ask_clarify,please again explain me on this
ask_clarify,please again explain to me
ask_clarify,please again explain your response
ask_clarify,please can you clarify me more on your words
ask_clarify,please can you elaborate me further on this
ask_clarify,please can you elaborate me on what you've just said further
ask_clarify,please can you explain further on your words
ask_clarify,please can you further explain me about your words
ask_clarify,please can you once again elaborate me on this
ask_clarify,please can you once again elaborate to me
ask_clarify,please can you once again elaborate your response
ask_clarify,please can you rephrase further on what you have said to me
ask_clarify,please can you rephrase me further on your answers
ask_clarify,please clarify further on your response to me
ask_clarify,please clarify me about this further
ask_clarify,please clarify me about your answers once again
ask_clarify,please clarify me more on that
ask_clarify,please clarify me more on this
ask_clarify,please clarify me more on what you just said now
ask_clarify,please clarify me more on your answers
ask_clarify,please clarify me on that further
ask_clarify,please clarify me on what you have said once again
ask_clarify,please clarify more on it to me
ask_clarify,please clarify more on what you just said now to me
ask_clarify,please clarify more on your answer
ask_clarify,please clarify once again
ask_clarify,please could you clarify more on it
ask_clarify,please could you clarify your answer further to me
ask_clarify,please could you elaborate me about your words once again
ask_clarify,please could you elaborate me further on that
ask_clarify,please could you elaborate once again
ask_clarify,please could you further explain me about it
ask_clarify,please elaborate again to me
ask_clarify,please elaborate further on it to me
ask_clarify,please elaborate further on that to me
ask_clarify,please elaborate further on your answers
ask_clarify,please elaborate me about the last sentence further
ask_clarify,please elaborate me about your answers further
ask_clarify,please elaborate me on it further
ask_clarify,please elaborate me on what you have said further
ask_clarify,please elaborate me on what you just said further
ask_clarify,please elaborate me on your answer again
ask_clarify,please elaborate me on your answer further
ask_clarify,please elaborate more on this to me
ask_clarify,please elaborate more on what you've said
ask_clarify,please elaborate more on your response
ask_clarify,please elaborate once again to me
ask_clarify,please elaborate that once again
ask_clarify,please elaborate your answers further
ask_clarify,please explain again to me
ask_clarify,please explain further on this
ask_clarify,please explain further on your words to me
ask_clarify,please explain me about your words once again
ask_clarify,please explain me further on what you just said
ask_clarify,please explain me further on your answers
ask_clarify,please explain me more on what you said
ask_clarify,please explain me more on what you've just said
ask_clarify,please explain me more on your answers
ask_clarify,please explain me on it once again
ask_clarify,please explain me on what you've said further
ask_clarify,please explain me on your answer once again
ask_clarify,please explain once again
ask_clarify,please explain what you've said further
ask_clarify,please explain your answers further
ask_clarify,please further clarify me about what you've said
ask_clarify,please further clarify me on what you've just said
ask_clarify,please further elaborate your response
ask_clarify,please further explain it
ask_clarify,please further explain me about the last sentence
ask_clarify,please further explain your answers to me
ask_clarify,please further rephrase it
ask_clarify,please further rephrase me about what you have said
ask_clarify,please further rephrase to me
ask_clarify,please once again clarify
ask_clarify,please once again clarify to me
ask_clarify,please once again elaborate
ask_clarify,please once again elaborate me about your answers
ask_clarify,please once again elaborate me on your answers
ask_clarify,please once again elaborate to me
ask_clarify,please once again explain
ask_clarify,please once again explain to me
ask_clarify,please once again rephrase me about what you have said
ask_clarify,please rephrase again to me
ask_clarify,please rephrase it further to me
ask_clarify,please rephrase me more on what you have just said
ask_clarify,please rephrase me more on what you said now
ask_clarify,please rephrase me on it further
ask_clarify,please rephrase me on what you just said now once again
ask_clarify,please rephrase me on your words further
ask_clarify,please rephrase more on the last sentence to me
ask_clarify,please rephrase more on what you have just said to me
ask_clarify,please rephrase more on what you just said now
ask_clarify,please rephrase more on your response
ask_clarify,please rephrase once again
ask_clarify,please rephrase your answers again
ask_clarify,please will you again explain what you just said to me
ask_clarify,please will you clarify further
ask_clarify,please will you clarify further on what you've just said
ask_clarify,please will you clarify me more on it
ask_clarify,please will you clarify me more on that
ask_clarify,please will you clarify more on your answers
ask_clarify,please will you elaborate further on last sentence
ask_clarify,please will you elaborate me more on what you have said
ask_clarify,please will you explain further on your words
ask_clarify,please will you explain me more on what you've said
ask_clarify,please will you further clarify me on that
ask_clarify,please will you rephrase further on what you have just said to me
ask_clarify,please will you rephrase further on what you have said
ask_clarify,please will you rephrase your answers once again
ask_clarify,please would you clarify me further on your response
ask_clarify,please would you clarify me more on this
ask_clarify,please would you elaborate me about what you have said once again
ask_clarify,please would you elaborate me further on your words
ask_clarify,please would you elaborate more on your words to me
ask_clarify,please would you rephrase me about your answers once again
ask_clarify,rephrase further on what you've just said to me please
ask_clarify,rephrase further on your response please
ask_clarify,rephrase further on your words please
ask_clarify,rephrase further to me please
ask_clarify,rephrase me about what you've said further please
ask_clarify,rephrase me further on it please
ask_clarify,rephrase me further on what you have said
ask_clarify,rephrase me more on it
ask_clarify,rephrase this further
ask_clarify,rephrase what you've just said further to me
ask_clarify,that is not so clear
ask_clarify,that is not so clear to me
ask_clarify,that was not clear
ask_clarify,that was not clear to me
ask_clarify,that was not so clear to me
ask_clarify,the last sentence is not so clear to me
ask_clarify,this is not clear
ask_clarify,this is not clear to me
ask_clarify,this is not so clear to me
ask_clarify,this was not clear
ask_clarify,this was not clear to me
ask_clarify,this was not so clear
ask_clarify,what did you mean
ask_clarify,what did you mean by it
ask_clarify,what did you mean by saying it
ask_clarify,what did you mean by saying that
ask_clarify,what did you mean by saying this
ask_clarify,what did you mean by that
ask_clarify,what did you mean by this
ask_clarify,what do you mean
ask_clarify,what do you mean by it
ask_clarify,what do you mean by saying it
ask_clarify,what do you mean by saying that
ask_clarify,what do you mean by saying this
ask_clarify,what do you mean by that
ask_clarify,what do you mean by this
ask_clarify,what you have just said was not so clear
ask_clarify,what you have said is not clear to me
ask_clarify,what you have said is not so clear
ask_clarify,what you have said was not so clear
ask_clarify,what you have said was not so clear to me
ask_clarify,what you just said was not clear to me
ask_clarify,what you just said was not so clear to me
ask_clarify,what you said is not clear
ask_clarify,what you said is not so clear to me
ask_clarify,what you said now is not clear to me
ask_clarify,what you said now was not clear
ask_clarify,what you said was not so clear to me
ask_clarify,what you've just said is not clear
ask_clarify,what you've said is not clear to me
ask_clarify,will you again elaborate me on what you said now please
ask_clarify,will you again explain me about the last sentence please
ask_clarify,will you clarify me further on your response please
ask_clarify,will you elaborate further on your answers
ask_clarify,will you elaborate me about that once again
ask_clarify,will you explain further on what you've said please
ask_clarify,will you explain me about the last sentence further please
ask_clarify,will you explain me about what you have said once again please
ask_clarify,will you explain me about your words further
ask_clarify,will you explain me more on what you just said please
ask_clarify,will you explain me more on what you said now
ask_clarify,will you further elaborate me on it please
ask_clarify,will you further elaborate me on what you have said please
ask_clarify,will you further explain
ask_clarify,will you once again clarify to me please
ask_clarify,will you once again clarify your words to me
ask_clarify,will you once again explain me on your words
ask_clarify,will you once again rephrase me about what you just said now
ask_clarify,will you please again elaborate
ask_clarify,will you please clarify again
ask_clarify,will you please clarify again to me
ask_clarify,will you please clarify me about this further
ask_clarify,will you please clarify more on your answers to me
ask_clarify,will you please elaborate me about what you have said again
ask_clarify,will you please elaborate me further on this
ask_clarify,will you please explain me about this once again
ask_clarify,will you please explain me further on this
ask_clarify,will you please explain me more on it
ask_clarify,will you please explain me more on last sentence
ask_clarify,will you please further elaborate it
ask_clarify,will you please further explain me about what you said
ask_clarify,will you please further rephrase me about what you said now
ask_clarify,will you please once again clarify me on what you have just said
ask_clarify,will you please once again explain
ask_clarify,will you please rephrase me further on that
ask_clarify,will you please rephrase me more on it
ask_clarify,will you please rephrase what you've said again
ask_clarify,will you rephrase me about your answer further please
ask_clarify,will you rephrase me about your answers further please
ask_clarify,will you rephrase me about your response once again please
ask_clarify,will you rephrase me more on what you have just said please
ask_clarify,will you rephrase me on what you've just said again please
ask_clarify,will you rephrase this again to me please
ask_clarify,will you rephrase your answer once again to me
ask_clarify,would you again clarify me about your answer please
ask_clarify,would you again clarify me on it
ask_clarify,would you again clarify me on it please
ask_clarify,would you again elaborate please
ask_clarify,would you again explain the last sentence to me please
ask_clarify,would you again rephrase me on your words please
ask_clarify,would you clarify further on it to me please
ask_clarify,would you clarify further please
ask_clarify,would you clarify me on your answer further please
ask_clarify,would you clarify this again
ask_clarify,would you elaborate again to me please
ask_clarify,would you elaborate further on your answer to me please
ask_clarify,would you elaborate me further on your answer please
ask_clarify,would you elaborate me more on what you said now please
ask_clarify,would you elaborate me on what you've said once again
ask_clarify,would you elaborate your words once again to me please
ask_clarify,would you explain further on it to me please
ask_clarify,would you explain me about what you have just said once again
ask_clarify,would you explain me about your answers once again
ask_clarify,would you explain more on your response to me
ask_clarify,would you further clarify the last sentence
ask_clarify,would you further elaborate to me please
ask_clarify,would you further explain me about that please
ask_clarify,would you further explain me about your response please
ask_clarify,would you further rephrase me about your words
ask_clarify,would you once again clarify me about your response please
ask_clarify,would you please clarify me about the last sentence again
ask_clarify,would you please elaborate me about your answers once again
ask_clarify,would you please elaborate me on it again
ask_clarify,would you please elaborate more on your response to me
ask_clarify,would you please elaborate your answer further to me
ask_clarify,would you please explain me about that again
ask_clarify,would you please explain more on your words
ask_clarify,would you please explain your response again to me
ask_clarify,would you please further clarify me about this
ask_clarify,would you please further clarify me on your answers
ask_clarify,would you please further clarify me on your words
ask_clarify,would you please further rephrase me on the last sentence
ask_clarify,would you please once again explain me about your words
ask_clarify,would you please once again rephrase me on your answers
ask_clarify,would you please once again rephrase to me
ask_clarify,would you please rephrase it further to me
ask_clarify,would you rephrase once again to me
ask_clarify,your answer is not clear
ask_clarify,your answer is not so clear to me
ask_clarify,your answer was not so clear
ask_clarify,your answer was not so clear to me
ask_clarify,your answers is not clear to me
ask_clarify,your answers was not clear to me
ask_clarify,your answers was not so clear
ask_clarify,your response is not clear
ask_clarify,your response is not so clear
ask_clarify,your response was not clear
ask_clarify,your response was not so clear
ask_clarify,your response was not so clear to me
ask_clarify,your words is not clear to me
ask_clarify,your words is not so clear
ask_clarify,your words was not so clear
ask_clarify,your words was not so clear to me
ask_confirmation,can you check and confirm command
ask_confirmation,can you check and confirm detail
ask_confirmation,can you check and confirm detail please
ask_confirmation,can you check and confirm details
ask_confirmation,can you check and confirm it
ask_confirmation,can you check and confirm last thing said please
ask_confirmation,can you check and confirm my last command please
ask_confirmation,can you check and confirm question
ask_confirmation,can you check and confirm that
ask_confirmation,can you check and confirm that please
ask_confirmation,can you check and confirm the detail
ask_confirmation,can you check and confirm the question please
ask_confirmation,can you check and confirm what just said
ask_confirmation,can you check and confirm what said please
ask_confirmation,can you check last thing i said please
ask_confirmation,can you check last thing said please
ask_confirmation,can you check my last question
ask_confirmation,can you check that
ask_confirmation,can you check that please
ask_confirmation,can you check the detail
ask_confirmation,can you check the details
ask_confirmation,can you check what i last said
ask_confirmation,can you check what i last said please
ask_confirmation,can you check what i said please
ask_confirmation,can you confirm instruction
ask_confirmation,can you confirm instruction please
ask_confirmation,can you confirm it
ask_confirmation,can you confirm my last command
ask_confirmation,can you confirm my last question
ask_confirmation,can you confirm that please
ask_confirmation,can you confirm the details please
ask_confirmation,can you confirm the last thing i said
ask_confirmation,can you confirm the question please
ask_confirmation,can you confirm what i last said
ask_confirmation,can you confirm what i last said please
ask_confirmation,can you confirm what just said please
ask_confirmation,can you confirm what last said please
ask_confirmation,can you confirm what said please
ask_confirmation,can you please check and confirm last thing said
ask_confirmation,can you please check and confirm my last instruction
ask_confirmation,can you please check and confirm the detail
ask_confirmation,can you please check and confirm what just said
ask_confirmation,can you please check and confirm what last said
ask_confirmation,can you please check command
ask_confirmation,can you please check detail
ask_confirmation,can you please check it
ask_confirmation,can you please check my last command
ask_confirmation,can you please check my last question
ask_confirmation,can you please check question
ask_confirmation,can you please check that
ask_confirmation,can you please check the command
ask_confirmation,can you please check the detail
ask_confirmation,can you please check the last thing i said
ask_confirmation,can you please check the question
ask_confirmation,can you please check what i just said
ask_confirmation,can you please check what i last said
ask_confirmation,can you please check what last said
ask_confirmation,can you please confirm detail
ask_confirmation,can you please confirm details
ask_confirmation,can you please confirm last thing i said
ask_confirmation,can you please confirm my last question
ask_confirmation,can you please confirm that
ask_confirmation,can you please confirm the detail
ask_confirmation,can you please confirm what just said
ask_confirmation,can you please confirm what said
ask_confirmation,check and confirm command please
ask_confirmation,check and confirm detail
ask_confirmation,check and confirm detail please
ask_confirmation,check and confirm details
ask_confirmation,check and confirm details please
ask_confirmation,check and confirm it
ask_confirmation,check and confirm it please
ask_confirmation,check and confirm last thing i said please
ask_confirmation,check and confirm last thing said please
ask_confirmation,check and confirm my last command please
ask_confirmation,check and confirm my last question
ask_confirmation,check and confirm my last question please
ask_confirmation,check and confirm question
ask_confirmation,check and confirm that
ask_confirmation,check and confirm that please
ask_confirmation,check and confirm the detail please
ask_confirmation,check and confirm the details
ask_confirmation,check and confirm the details please
ask_confirmation,check and confirm the instruction
ask_confirmation,check and confirm the instruction please
ask_confirmation,check and confirm the last thing i said
ask_confirmation,check and confirm the last thing i said please
ask_confirmation,check and confirm the last thing said please
ask_confirmation,check and confirm the question
ask_confirmation,check and confirm what i said please
ask_confirmation,check and confirm what just said please
ask_confirmation,check and confirm what last said please
ask_confirmation,check and confirm what said
ask_confirmation,check detail
ask_confirmation,check detail please
ask_confirmation,check details please
ask_confirmation,check it
ask_confirmation,check it please
ask_confirmation,check last thing i said
ask_confirmation,check last thing i said please
ask_confirmation,check last thing said please
ask_confirmation,check my last command
ask_confirmation,check my last command please
ask_confirmation,check my last instruction please
ask_confirmation,check my last question
ask_confirmation,check question
ask_confirmation,check question please
ask_confirmation,check that
ask_confirmation,check that please
ask_confirmation,check the command
ask_confirmation,check the command please
ask_confirmation,check the detail
ask_confirmation,check the detail please
ask_confirmation,check the details
ask_confirmation,check the details please
ask_confirmation,check the last thing i said please
ask_confirmation,check the last thing said
ask_confirmation,check the last thing said please
ask_confirmation,check the question please
ask_confirmation,check what i just said
ask_confirmation,check what i last said please
ask_confirmation,check what just said please
ask_confirmation,check what said
ask_confirmation,confirm detail
ask_confirmation,confirm detail please
ask_confirmation,confirm details
ask_confirmation,confirm it
ask_confirmation,confirm it please
ask_confirmation,confirm last thing i said
ask_confirmation,confirm last thing said please
ask_confirmation,confirm my last command
ask_confirmation,confirm my last command please
ask_confirmation,confirm my last instruction please
ask_confirmation,confirm question
ask_confirmation,confirm that
ask_confirmation,confirm that please
ask_confirmation,confirm the command
ask_confirmation,confirm the detail
ask_confirmation,confirm the detail please
ask_confirmation,confirm the details please
ask_confirmation,confirm the instruction
ask_confirmation,confirm the instruction please
ask_confirmation,confirm the last thing i said please
ask_confirmation,confirm the last thing said please
ask_confirmation,confirm the question please
ask_confirmation,confirm what i just said
ask_confirmation,confirm what i last said
ask_confirmation,confirm what just said please
ask_confirmation,confirm what last said
ask_confirmation,confirm what last said please
ask_confirmation,could you check and confirm detail please
ask_confirmation,could you check and confirm it please
ask_confirmation,could you check and confirm last thing i said
ask_confirmation,could you check and confirm last thing said
ask_confirmation,could you check and confirm my last instruction
ask_confirmation,could you check and confirm that please
ask_confirmation,could you check and confirm the detail please
ask_confirmation,could you check and confirm the details please
ask_confirmation,could you check and confirm what i last said please
ask_confirmation,could you check and confirm what said
ask_confirmation,could you check instruction
ask_confirmation,could you check it
ask_confirmation,could you check it please
ask_confirmation,could you check last thing i said please
ask_confirmation,could you check my last question
ask_confirmation,could you check question
ask_confirmation,could you check that
ask_confirmation,could you check that please
ask_confirmation,could you check the detail please
ask_confirmation,could you check the details
ask_confirmation,could you check the last thing i said please
ask_confirmation,could you check the question please
ask_confirmation,could you check what just said
ask_confirmation,could you confirm detail please
ask_confirmation,could you confirm details
ask_confirmation,could you confirm it please
ask_confirmation,could you confirm last thing i said
ask_confirmation,could you confirm my last instruction please
ask_confirmation,could you confirm that please
ask_confirmation,could you confirm the last thing i said please
ask_confirmation,could you confirm the question please
ask_confirmation,could you confirm what i just said please
ask_confirmation,could you please check and confirm details
ask_confirmation,could you please check and confirm instruction
ask_confirmation,could you please check and confirm it
